Lugar,Latitud,Longitud
Parque Florencia,6.216999990865588,-75.56700001470745
Parque Girardot,6.21375996619463,-75.59816003311425
Parque Kennedy,6.289777960628271,-75.5818400066346
Parque La Castellana,6.23934798873961,-75.60760002583265
Parque La Mota,6.21375996619463,-75.59816003311425
Parque La Paz,6.21375996619463,-75.60391001868993
Parque la Piñuela,6.279092961922288,-75.55723002646118
Parque Las Tinajas,6.216999990865588,-75.56700001470745
Parque Lleras Sur,6.208899971097708,-75.56805001571774
Parque Loreto,6.232382962480187,-75.55839003995061
Parque Los Abuelos,6.247229995205998,-75.61279001645744
Parque Los Bomberos,6.21375996619463,-75.56715403217822
Parque Lourdes,6.216999990865588,-75.56700001470745
Parque Madre Laura Aranjuez,6.213399963453412,-75.56713001802564
Parque Malibu,6.21375996619463,-75.59816003311425
Parque Pablo Vi,6.303174924105406,-75.55507001001388
Parque Plan Parcial Invatex,6.247207950800657,-75.61200002208352
Parque Principal Campo Valdes,6.216999990865588,-75.56700001470745
Parque Principal San Antonio De Prado,6.184946922585368,-75.65639502368867
Parque Principal San Cristóbal,4.573316993191838,-74.0858700312674
Parque San Antonio,6.246088966727257,-75.56749002076685
Parque San Pablo,6.216999990865588,-75.56700001470745
Parque Santa Elena,6.216999990865588,-75.56700001470745
Parque Suramericana,6.256928946822882,-75.58433500584215
Parque Unicentro,6.2931939214468,-75.56715403217822
Parque Villa del Socorro,6.222889954224229,-75.60391001868993
Parques del Rio,6.216999990865588,-75.56700001470745
Parques del Río 1B Sur,6.24375494197011,-75.57957001961768
Pasaje La Bastilla x Av La Playa,6.216999990865588,-75.56700001470745
Patinaje 12Octubre,6.21375996619463,-75.59820001479238
Perpetuo Socorro,6.216999990865588,-75.56700001470745
Pista de Bicicros Antonio Roldan Betancur,6.216999990865588,-75.56700001470745
PL Carlos E Restrepo,6.209999928250909,-75.56700001470745
Placa Cristobal,6.250718962401152,-75.6137540191412
Placa Cubierta La Sierra,6.216999990865588,-75.56700001470745
Placa Divino Niño,6.255349963903427,-75.6284300191328
Placa Metropolitana,6.26349993981421,-75.60760002583265
Placa Moravia,6.28068694844842,-75.56678003165871
Placa Polideportiva Don Bosco,6.292044930160046,-75.5959100369364
Placa Polideportiva La Pastora,6.229896973818541,-75.54267003200948
Placa Polideportiva Trinidad,6.216999990865588,-75.56700001470745
Placita de Flores,6.21375996619463,-75.61640001833439
Plazoleta Colinas De Enciso Parte Alta,6.216999990865588,-75.56700001470745
Plazoleta Entre Ie Antonio Derka Y La Ie Santo Domingo Savio,6.297048926353455,-75.53879503626376
Plazoleta Estacion Santo Domingo Metrocable,6.216999990865588,-75.56700001470745
Plazoleta Granizal,6.216999990865588,-75.56700001470745
Plazoleta Iglesia San José,6.216999990865588,-75.56700001470745
Plazoleta Trece De Noviembre,6.216999990865588,-75.56700001470745
PQ Banderas Tricent,6.21375996619463,-75.5964000010863
Pruebas Laboratorio Meraki,6.216999990865588,-75.56700001470745
Pueblito Paisa,6.293119993060827,-75.61245000455528
Registraduria Bombona,6.244886917993426,-75.56300000287592
Secretaria de Movilidad Oficina Castilla,6.216999990865588,-75.56700001470745
Templo San Jose1,6.2939999252557755,-75.57800000533462
Terminal Del Sur,6.216601934283972,-75.59085000772029
Tesoreria Municipal Oficina CAM,6.216999990865588,-75.56700001470745
UN Deportiva Belen,6.216999990865588,-75.56700001470745
Unidad Deportiva Alejandro Echavarria,6.216999990865588,-75.56700001470745
Unidad Deportiva Jose Rene Higuita,6.296279970556498,-75.57197601534426
Unidad Deportiva La Floresta,6.216999990865588,-75.56700001470745
Unidad Deportiva Maria Luisa Calle,6.216999990865588,-75.56700001470745
Unidad Deportiva Miraflores,6.216999990865588,-75.56700001470745
Unidad Deportiva San Blas,6.216999990865588,-75.56700001470745
Unidad Deportiva Santa Inés,6.216999990865588,-75.56700001470745
Upss Castilla,6.216999990865588,-75.56700001470745
Upss Manrique,6.266910955309868,-75.56969001889229
Upss Nuevo Occidente,6.28120394423604,-75.6149800401181
Viaducto Tramo 2 Parte Alta,6.216999990865588,-75.56700001470745
WIFI JUSTICIA ROBL,6.284450925886631,-75.58709001168609
Zona Verde Arboleda,6.233936967328191,-75.62625001184642
